y,0,1,2,3,4
1,"[2369, 2410, 4051]","[2369, 2410, 4051]","[2369, 2410, 4051]","[2369, 2410, 4051]","[1649, 475, 3563]"
0,"[903, 1329, 6663]","[903, 1329, 6663]","[1437, 2153, 6876]","[1437, 492, 4895]","[1437, 2153, 6876]"
1,"[327, 242, 582]","[327, 242, 582]","[327, 242, 582]","[327, 242, 582]","[456, 77, 661]"
0,"[1139, 294, 1724]","[1146, 564, 1567]","[1139, 294, 1724]","[1139, 294, 1724]","[1139, 294, 1724]"
0,"[1282, 400, 3198]","[927, 107, 2648]","[927, 107, 2648]","[1282, 400, 3198]","[1282, 400, 3198]"
1,"[499, 507, 2026]","[499, 507, 2026]","[2244, 2180, 3453]","[8005, 8810, 2026]","[499, 507, 2026]"
0,"[8022, 8467, 6663]","[8022, 8467, 6663]","[1437, 2153, 6876]","[1437, 2153, 6876]","[1437, 2153, 6876]"
1,"[1528, 61, 36]","[1528, 61, 36]","[1528, 61, 36]","[1528, 61, 36]","[1094, 57, 206]"
1,"[777, 1646, 8299]","[713, 1129, 388]","[777, 1646, 1472]","[713, 1129, 388]","[713, 1129, 388]"
1,"[304, 146, 958]","[304, 146, 958]","[304, 146, 958]","[304, 146, 958]","[152, 51, 525]"
0,"[642, 2332, 4874]","[642, 2332, 4874]","[2914, 4905, 5178]","[642, 2332, 4874]","[642, 2332, 4874]"
0,"[1954, 2554, 2341]","[1954, 2554, 2341]","[8935, 2369, 8835]","[1954, 2554, 2341]","[1954, 2554, 2341]"
1,"[327, 242, 582]","[327, 242, 582]","[327, 242, 582]","[327, 242, 582]","[1662, 1059, 2202]"
0,"[713, 1129, 388]","[777, 1646, 1472]","[713, 1129, 388]","[777, 1646, 1472]","[777, 1646, 1472]"
0,"[1841, 4410, 3180]","[540, 1122, 1055]","[1841, 4410, 3180]","[1841, 4410, 3180]","[1841, 4410, 3180]"
0,"[2363, 8434, 8653]","[2363, 1374, 2733]","[2363, 1374, 2733]","[2363, 1374, 2733]","[1179, 364, 1093]"
1,"[1284, 2683, 320]","[1284, 2683, 320]","[1284, 2683, 320]","[9047, 9047, 9047]","[1284, 2683, 320]"
1,"[4705, 4900, 4280]","[4705, 4900, 4280]","[8887, 4900, 4280]","[4705, 4900, 4280]","[4705, 4900, 4280]"
1,"[2648, 5437, 7046]","[2648, 5437, 7046]","[2648, 5437, 7046]","[2648, 5437, 7046]","[3607, 5966, 7055]"
1,"[331, 633, 1450]","[331, 633, 1450]","[331, 633, 1450]","[1631, 2122, 2985]","[331, 633, 1450]"
0,"[2929, 2020, 2334]","[2929, 2020, 2334]","[3115, 1098, 376]","[3115, 1098, 376]","[3115, 1098, 5726]"
0,"[1272, 2461, 2469]","[1272, 2461, 2469]","[1272, 2461, 2469]","[4765, 5008, 4393]","[4765, 5008, 4393]"
0,"[5114, 3809, 4067]","[5114, 9047, 9047]","[5652, 9047, 9047]","[5114, 3809, 4067]","[5114, 3809, 4067]"
0,"[496, 629, 1684]","[496, 629, 3341]","[2684, 3866, 4736]","[496, 629, 1684]","[496, 629, 1684]"
0,"[8487, 4279, 2183]","[2592, 4279, 2183]","[4891, 4899, 3301]","[4891, 4899, 3301]","[4891, 4899, 3301]"
1,"[1607, 1742, 6026]","[1607, 1742, 6026]","[1607, 1742, 6026]","[1607, 1742, 6026]","[2991, 2258, 7112]"
0,"[4832, 2580, 2929]","[4832, 2580, 2929]","[3843, 2192, 2561]","[4832, 2580, 8135]","[3843, 2192, 4535]"
0,"[2410, 4051, 1734]","[2410, 4051, 1734]","[2106, 3311, 2128]","[2410, 4051, 1734]","[2410, 4051, 1734]"
